Equipe;Processo;Data Entrada;Status;Responsável;Prazo;UF;Contrato;BR;Tipo;Assunto;Providência;SEI Recebido;1 - SEI Criado;2 - SEI Criado;3 - SEI Criado;Data de Revisão;Observações;Data de Assinatura;Criado por;Data Criação;Cadastrado no SIMA?;Tem Prazo;Comentários;
PROJETO;50600.025887/2023-52;2025-02-14;Assinado;Rebeca;2025-02-21;RS;00 00375/2024;BR-116;Projetos;Pendência de deliberação da Comissão Binacional - Reunião da Comissão Binacional -- BR-116/RS;"Ofício do Consórcio informando que o cronograma não será atendido por falta de decisão, na análise de projeto, pelo Governo do Uruguai. Marília orientou aguardar alguma definição da DPP para resposta, visto que a Diretoria já repassou a problemática ao Ministério. 
04/08 - Com a reunião Binacional, relatar solução do Proj. Geométrico. VERIFICAR PQ NÃO FOI ASSINADO";20319029;21782079;;;2025-08-04;Documento no bloco em 28/07 necessitou de ajustes.;2025-08-12;Rebeca Braz Soares Fiameni;2025-07-07;Sim;Não;;
PROJETO;50610.005571/2020-82;2025-04-16;Assinado;Rebeca;2025-04-23;RS;10 00821/2019;BR-116;Projetos;Contrato nº 10 00821/2019 - Encaminhamento de Análises de Projetos - BR-116/RS.;Encaminhamento à SR para conhecimento de análise de projeto.;20897664;20749435;20750672;20751590;2025-04-16;;2025-04-16;Bruno Pimenta Resende;2025-02-06;Sim;Não;;
ASSESSORIA COAC;50001.024541/2025-58;2025-05-09;Assinado;Rebeca;2025-05-16;-;-;-;FALA-BR;Solicitação de informações - Lei de Acesso à Informação. Subsídios para Decisão de Recurso em Segunda Instância.;"Remetente: Fala-BR 
Sobre exportação de dados de latitude e longitude das obras.";21091895;21096807;;;2025-05-12;;2025-05-12;Gabrielle Afonso Pereira Nogueira;;Sim;Não;;
PROJETO;50603.002068/2024-98;2025-01-31;Assinado;Rebeca;2025-02-07;CE;03 00077/2024;BR-116;Projetos;Contrato nº 00 00077/2024 - Ciência de projetos e análises do reconhecimento da Faixa de Domínio - BR-116/CE.;Ciência de projetos e análises do reconhecimento da Faixa de Domínio - BR-116/CE;20172681;21110673;;;2025-05-14;;2025-05-14;Bruno Pimenta Resende;2025-07-07;Sim;Não;;
PROJETO;50603.002068/2024-98;2025-04-17;Assinado;Rebeca;2025-04-24;CE;03 00077/2024;BR-116;Projetos;Contrato nº 00 00077/2024 - Ciência de projetos e análises do reconhecimento da Faixa de Domínio - BR-116/CE.;Ciência de projetos e análises do reconhecimento da Faixa de Domínio - BR-116/CE;20923950;21110673;;;2025-05-14;;2025-05-14;Bruno Pimenta Resende;2025-04-06;Sim;Não;;
PROJETO;50600.003198/2025-59;2025-04-24;Assinado;Bruno;2025-05-01;PA;02 00261/2024;BR-230;Projetos;Envio de Caderno de Desenhos - Contrato n.º 02 00261/2024. BR-230/PA.;Possível PAAR - analisar com calma;20964531;21518195;;;2025-04-24;;2025-04-24;Bruno Pimenta Resende;25/06/2025;Sim;Não;;
PROJETO;50600.002661/2025-45;2025-04-25;Assinado;Rebeca;2025-05-02;TO;00 00958/2024;BR-226;Projetos;Encaminhamento de documentos referentes ao Projeto para a reconstrução da ponte sobre o Rio Tocantins – Contrato n.º 00958/2024.;Ciência do Termo de Aceite - OAE infra e meso;20669776;21115059;;;2025-05-14;;2025-05-14;Bruno Pimenta Resende;2025-04-06;Sim;Não;;
PROJETO;50600.002661/2025-45;2025-04-25;Assinado;Rebeca;2025-05-02;TO;00 00958/2024;BR-226;Projetos;Encaminhamento de documentos referentes ao Projeto para a reconstrução da ponte sobre o Rio Tocantins – Contrato n.º 00958/2024.;Encaminhamento ao Consórcio do Termo de Aceite;20669776;21115284;;;2025-05-14;;2025-05-14;Bruno Pimenta Resende;2025-04-06;Sim;Não;;
PROJETO;50600.018392/2024-58;2025-04-23;Assinado;Rebeca;2025-04-30;TO;23 00748/2023;BR-010;Projetos;Versão final do projeto da ponte sobre o rio Araguaia na BR-153/PA/TO.;Ciência de As Built;20948566;21115597;;;2025-05-14;;2025-05-14;Bruno Pimenta Resende;2025-04-06;Sim;Não;;
PROJETO;50611.003640/2024-37;2025-04-28;Assinado;Rebeca;2025-05-05;MT;11 00259/2016;BR-242;Projetos;Relatório de Metodologia Avaliatória-RMA- BR-158/MT - Contorno Maraiwatsede - Lote B;Ciência quanto à análise da supervisora;20994326;21115707;;;2025-05-14;;2025-05-14;Bruno Pimenta Resende;2025-04-06;Sim;Não;;
ASSESSORIA COAC;50600.000166/2025-00;2025-04-29;Assinado;Gabrielle;2025-05-06;-;-;-;Externo;Termo de Arrolamento e Transferência de bens de Bens das rodovias federais BR-060/452/GO - do Sistema Rodoviário Rota Verde no estado de Goiás.;"Remetente: ANTT 
Resposta sobre a via ser concedida de acordo com o PER.
";20999384;21242892;;;2025-06-04;;2025-06-04;Gabrielle Afonso Pereira Nogueira;2025-04-06;Sim;Não;;
PROJETO;50613.000439/2018-30;2025-04-29;Assinado;Gabrielle;2025-05-29;PB;13 00938/2017;BR-230;PAAR;Encaminhamento de manifestação do Consórcio LCM/CCL/PRODEC sobre o cumprimento do cronograma para entrega dos Projetos Executivos de OAE. - Ofício nº 76737/2025/DIR/DNIT SEDE (SEI! 20787826);Responder a resposta da resposta da notificação, deixando claro que a COAC não tem o que aplicar no PAAR.;21003000;21517083;;;2025-06-24;;2025-07-17;Bruno Pimenta Resende;24/06/2025;Sim;Não;;
ASSESSORIA COAC;50600.038641/2021-89;2025-04-29;Assinado;Rebeca;2025-05-06;RS;00 00375/2024;BR-116;Externo;Atualização das informações referentes aos contratos do DNIT nas rodovias BR-116/158/290/392/RS.;"Remetente: Secretaria Nacional de Transporte Rodoviário do Ministério dos Transportes - SNTR/MT
Informações sobre contratos em andamento (BR 116, 158, 290, 392) - encaminhamente para a regional.";20989257;21164072;;;2025-04-29;;2025-05-16;Gabrielle Afonso Pereira Nogueira;2025-04-06;Sim;Não;;
PROJETO;50606.000347/2025-78;2025-04-28;Assinado;Rebeca;2025-05-05;MG;00 00619/2024;BR-381;Projetos;Contrato nº 00 00619/2024 - Ciência de Análise de Projetos - BR-381/MG.;Informativo de destaque de informação da CGDESP em NotaTécnica de análise de Plano de Tráfego. Informação já havia sido repassada ao Consórcio;20989708;21116091;;;2025-05-14;;2025-05-14;Bruno Pimenta Resende;2025-04-06;Sim;Não;;
PROJETO;50602.001136/2024-10;2025-05-05;Assinado;Rebeca;2025-06-04;PA;02 00261/2024;BR-230;Notificação;Descumprimento Contratual - Análise.;SR envia documento para a CGCONT analisar possível PAAR. Encaminhamento para fiscalização instaurar, caso julgue necessário. Citar os capítulos da IN;21025809;21328182;;;2025-05-05;;2025-06-10;Bruno Pimenta Resende;2025-11-06;Sim;Não;;
