categoria;descricao;sei;data
projetos;Trata-se;25598464;10/08/2026
projetos;Em resposta ao;25598469;10/08/2026
projetos;Ciência de Projetos e Análises - DIR;25058109;12/06/2026
projetos;Ciência de Projetos - DIR - SR;25084571;16/06/2026
projetos;Ciência de Projetos - DIR - DPP;25052999;12/06/2026
projetos;Ciência de Análise - DIR;24805787;19/05/2026
projetos;Encaminhamento de projeto à DPP;25052564;16/06/2026
projetos;Encaminhamento de projeto à SR;24475192;24/04/2026
projetos;Encaminhamento de Termo de Aceite à EMPRESA;23495118;08/01/2026
projetos;Encaminhamento de análises à EMPRESA com negativa;24805772;19/05/2026
projetos;"Ciência dos projetos ""As Built""";20697920;27/03/2025
projetos;"Encaminhamento de ""As Built"" para SR";23558532;14/01/2026
projetos;Notificação de atraso para SR;23485043;06/01/2026
projetos;Resposta à notificação de atraso de projetos;22216720;03/09/2025
projetos;Solicitação de data final de cronograma ;22994880;14/11/2025
projetos;Resposta a SR sobre PAAR ser responsabilidade deles;22818328;11/07/2025
projetos;Primeiras instruções sobre aplicação de PAAR para a SR;22379505;11/07/2025
projetos;Ciência de Cronograma;23579905;22/01/2026
projetos;Portaria de Aprovação de Projetos. Encaminhar para SR;24228492;24/03/2026
projetos;Informação de Fluxo de Projetos para Contratos que não são RDCI;24233339;24/03/2026
projetos;Resposta de Análises para a SR;24833125;21/05/2026
projetos;Responsabilidade das Comuniçaões de Projetos - Ofício Circular;22630145;07/10/2025
projetos;Notificação para mais de um contrato.;24066695;17/03/2026
projetos;Notificação para Cronograma Referencial;23798599;23/09/2025
projetos;Not. em contrato sem atraso, com início de descumprimento;20091872;28/01/2025
projetos;Notificação padrão de PAAR;19532890;18/11/2024
projetos;Sugestão para instauração de PAAR;20034358;17/11/2024
projetos;Inf. à Empresa apenas de projeto sobre Ofício Circular;20150155;30/01/2025
projetos;Resposta à notificação PAAR já instaurado;20669246;03/04/2025
projetos;Resposta à notificação PAAR não instaurado;20682440;28/03/2025
oficio;Ofício Circular do Fluxo de Projetos;18438456;23/07/2024
oficio;Portaria Nº 6398 - Acórdão TCU;22954489;07/11/2025
assessoria;Termo de arrolamento quando há obras no trecho;21541803;07/07/2025
assessoria;Termo de arrolamento quando não há nada na rodovia.;21624076;03/07/2025
assessoria;Impossibilidade de resposta FALA BR;21651668;09/07/2025
assessoria;Despacho de conclusão na unidade ;22955903;07/11/2025
assessoria;Definição de Responsabilidades de Comunicação;22630145;07/10/2025
assessoria;Assessoria - Modelo de ciência de tratativas;22500575;02/10/2025
assessoria;Resposta para solicitação de manifestação sobre atraso de projeto - PAAR;21328182;06/06/2025
assessoria;Estudo de viabilidade - não ser responsabilidade da CGCONT;22907633;11/06/2025
assessoria;Sem guarda de informações;21932269;21/11/2025
assessoria;Planejamento não ser responsabildade da CGCONT ;23088633;21/11/2025
